cell_id,x,y,z,F_0_0,F_2_0,F_4_0,F_4_2,F_2_2,F_6_0,F_12_0,F_5_1,F_14_0,F_3_1,F_10_0,F_7_1,F_16_0,F_8_2,F_15_1,F_1_1,F_13_1,F_6_2,F_10_8,F_10_2,F_6_4,F_18_0,F_8_6,F_17_1,F_10_4,F_9_1,F_18_2,F_16_2,F_4_4,F_8_8,F_12_2,F_6_6,F_11_1,F_14_4,F_8_4,F_20_2,F_18_4,F_16_4,F_19_3,F_10_6,F_16_10,F_17_3,F_16_6,F_20_4,F_5_3,F_16_14,F_12_10,F_14_8,F_17_5,F_16_12,F_19_5,F_14_2,F_3_3,F_20_0
11,42,181,73,5068.76416015625,4213.4453125,1618.039306640625,1899.5262816080874,1388.4098301765403,596.5563354492188,945.9844970703125,348.33879026610157,913.9324340820312,891.9932770321146,588.1799926757812,200.8419533148271,783.630615234375,293.675987730299,162.86648763955398,804.2863722905644,164.0856631622834,660.2519703042686,247.5783181238661,340.4042512138938,431.3916776663791,562.83154296875,620.16475232913,116.46192357153782,88.48622763086928,148.24862756714555,273.8741081847916,321.0519069033652,220.17389432299757,136.2132717715127,376.52889403312884,354.32462493848874,135.86992608261656,212.44517026334694,356.0064815378528,220.07667201982989,208.80900420947705,161.431527764774,111.58809745945261,191.59980414794936,124.33349973114014,102.8240859815279,127.85282896467042,201.22444831509713,543.8530864539872,75.33784312270177,209.05426416740588,196.61061591575407,167.462513707519,165.21945239708177,144.3734367941038,159.0051995640631,483.74476885718946,251.68563842773438
12,25,182,210,3327.2060546875,2838.9921875,1103.3138427734375,1422.2538114749811,927.0105509696047,235.76834106445312,565.1765747070312,769.5216375043465,378.9739074707031,1170.247108858758,525.3258056640625,356.24654937484723,233.0297393798828,522.4357331487452,210.55846018994686,849.294621756351,261.52912018298116,843.1745200940314,113.76447662440745,538.8807880736779,324.6060206742666,161.96859741210938,315.2822569473144,155.38459632678308,245.67034530810753,67.460692643519,254.8954462732191,282.26068902552674,125.68718534167068,70.68794909480329,373.76964560686133,194.4417707956852,203.7966248124357,247.4843528337708,394.12818350107483,182.51886469758145,131.01654614723054,174.82809593627414,157.05311453876647,186.32219634298113,84.0373638060231,153.41951095166027,105.87179391734121,180.88672798445853,672.60103886624,58.94412827100722,138.3565428090224,199.30235951141762,125.73764141980013,109.74847207658756,143.7424825396329,137.79624756311884,455.22661410149584,116.45622253417969
13,635,213,121,9721.353515625,6125.392578125,115.86965942382812,3795.417937372163,3190.3459766248457,1159.436767578125,637.7954711914062,491.25027628333766,331.1185607910156,1282.9871327539656,816.8720703125,863.2554309874181,308.137939453125,939.0585990494038,365.91518047119393,1421.3369724677943,263.1550766260571,757.1013597107365,807.3298363271897,446.75467863295194,1458.9098788688982,272.9855041503906,1958.8269609340718,247.2411723293538,352.4626880442948,584.4119594146184,260.8615747453719,440.79708848821593,875.2898496344947,565.576446124547,678.1420090573106,1195.8236651456064,307.52147570198895,670.0454388212312,995.0463952883982,198.54795553592828,464.2652006963794,265.7368813899366,257.7164453211154,539.1273584333908,377.40803047222494,322.8068442254231,318.6114769882894,419.90905174385955,1392.7669228818734,454.81481623668094,735.5762631979857,738.1319722230415,204.2055478963235,479.2405563519252,122.72061930489652,299.35748961975867,976.9781845552825,104.3199691772461
14,245,229,123,7915.97802734375,4819.69091796875,309.40057373046875,2566.954769472657,2374.904970109088,1000.1827392578125,65.38894653320312,784.6237191505733,58.128684997558594,1842.4371096206073,465.56134033203125,320.9433535873191,251.54397583007812,1447.501205070935,175.14940209178462,1477.1189001428465,72.36006881884452,1163.883145301394,779.4791894544145,1317.9306745276072,1640.3144141404716,376.7646484375,1871.5092529000806,122.09143387239527,1265.2365570288414,631.1464824919948,126.03944728162284,309.08358882788787,1017.6389656107837,475.5751114758034,1009.9018269784144,1086.1368923110665,321.5936569220962,767.431060119565,1277.0205994816838,150.3334989148441,420.0030386533633,278.14262614825435,266.55634366779776,796.6431688992548,403.2696854099277,478.7227966320141,573.485578029367,397.4102826037719,1054.448729412658,427.8138399431799,896.6524603646449,677.3181080120154,379.583075483848,562.364484830029,209.13866648447723,529.3423045803628,755.0284575573777,269.6001892089844
15,335,244,151,5662.76953125,3965.548583984375,802.009033203125,1916.7285139566304,1752.6673545117312,181.10301208496094,804.2451782226562,439.355869175302,685.5779418945312,406.2790798564901,635.8727416992188,175.98820333367374,534.3167114257812,634.9654419154281,133.36141149136978,747.5092995252452,99.56771226195066,346.9032915284033,732.5416803165078,468.23529195458684,1184.4947093315743,310.18328857421875,1323.6393698286072,106.30132855030763,294.18418710405706,179.71031404990399,255.54794814515935,253.98579973242553,782.6365167277372,414.0025392290711,345.0353016126985,767.885010763336,89.73327172428759,299.74407363179785,544.003013334137,184.45155418292956,281.5200024649002,148.41129940652772,84.27180290792136,514.5355604715354,339.9834901782276,106.43333340255357,292.57175894424773,189.97749618688613,692.954211129738,382.1521171515572,648.9387235705336,477.538225148217,86.61036731329808,419.50809013267497,111.50783586322972,136.4322403432159,601.0936395409341,81.846435546875
16,122,298,188,4425.8583984375,3510.859130859375,1229.2232666015625,1599.4171862350815,1210.355365408965,472.92706298828125,633.990234375,170.88743792385816,602.8753662109375,238.2269537828212,412.2362060546875,145.55793380820157,533.6255493164062,604.3893634254603,87.1528772173798,298.54059087259117,83.42886693907046,718.6535106770216,257.7148760416727,659.2218954403938,365.5424047406627,398.54351806640625,646.0707978860785,64.06972768415774,216.54260877825428,66.39965511068415,248.3206100271305,220.8918755879967,233.23299058598977,179.43153989375978,494.34789593528797,396.0274563992942,56.01702046050095,273.06452857500176,319.11176890313834,247.50934139680538,138.11281759382507,137.36609814516729,89.67469958511057,154.63333723309316,119.39074710290528,110.53980553587212,163.77708343716537,129.03106410522528,149.5842482623333,135.10888023308277,239.37342587993328,236.38779656790894,130.82625488609838,157.8838387615365,120.16044059727217,146.79382385748065,98.98884444215292,212.86923217773438
17,515,308,42,8928.25,6020.654296875,427.8970642089844,2971.579944433333,2551.520168899218,836.1400756835938,631.1357421875,245.55274999677448,364.01678466796875,301.43759028109764,797.4371337890625,244.14937463148476,347.549560546875,1116.8358245034465,264.12872827555236,303.1757293060419,243.95670981854855,791.3806492104977,587.8295721298637,481.0431696018255,1079.9910871885122,313.5034484863281,1558.426589064674,180.67054455113993,448.9482659760067,101.7799934677644,257.13774095867547,411.14134312392997,638.1290952220801,415.19445711694317,516.4081516645448,940.0312193890171,121.82883425258939,591.8371511791919,879.3537808666733,128.39328452066403,334.4801090079648,258.07485613968765,129.18162121187368,404.8907225131966,318.83327178178854,134.21559301211292,327.71643702638846,339.37353037978664,283.40844904379827,316.19476118842266,574.3290253916906,630.6609037565103,275.74803893015564,366.0204684981552,193.8561350478814,305.16571867459845,197.94882758698685,162.9475860595703
18,560,309,157,8306.478515625,5175.91748046875,267.9967956542969,3327.395635930372,2738.2066983529844,1206.685791015625,331.23193359375,253.13644593881898,180.7879638671875,593.7557394692666,510.2185363769531,281.85878403503284,252.25234985351562,734.2766602964085,176.15683426572562,515.775397616114,148.5504694909984,595.2776600418213,623.7249522651512,274.6156705849635,945.7450427313121,288.8299560546875,1450.3720089840497,167.4328456074489,483.13968251241084,217.87152846960817,133.16532655550623,314.2834189148174,603.6068536785152,491.0218629968531,429.73213018891914,969.3545112900541,125.1917574236648,420.05975668746163,995.3818960323249,59.380068482802066,478.97318790327915,99.1397134863854,89.24790211198456,387.1661314895308,286.95355135093615,144.6106183905265,285.47539883480533,386.7867671133947,377.7031958410343,393.5112255955087,625.9628927366732,680.6674799865758,168.12469348472825,354.3361376522755,119.66893791521379,161.1296386101436,265.09950954644,174.59091186523438
19,455,324,104,6970.39599609375,4816.50830078125,628.8178100585938,2253.879261431514,1945.6441522640923,292.2521667480469,493.9189758300781,571.2030775957843,394.27740478515625,697.6649408095751,491.0743408203125,369.20615121750967,447.57061767578125,1506.3338338023625,96.69763751612561,555.3619595798432,30.164971499959247,1232.8798544415718,462.27649785853816,741.8338589761322,909.1183381527445,424.2212829589844,1219.590058399126,114.12122793792012,765.0739758969909,213.23135058559757,241.52125054888745,303.27299550585633,516.4952688133442,329.0700339802651,413.229675522655,738.6872195457747,108.93246724396047,448.80964704926424,870.3905189176063,210.1804303264983,386.1357886481836,298.56909404336375,199.36579987270918,389.4705312738314,284.62056992306196,280.2294252204652,319.1383798762298,313.1802463171805,423.37399685979915,244.89946329595713,452.2995424660534,560.4160680311221,255.0026294486878,288.13802672772647,218.5799532966618,264.53914737997707,262.8680540313109,282.3934631347656
20,6,320,80,3095.9345703125,2002.384033203125,172.4978790283203,1174.297943947349,1033.325703360174,45.97622299194336,3.5913238525390625,812.1479555339897,54.867435455322266,1612.2389328232862,82.81327056884766,332.92577838264515,177.14471435546875,346.2681026988664,257.1222994762007,1340.1196040546756,270.8128672466106,246.61381425365764,263.6822340119673,442.81175409670885,442.3080888758623,219.268798828125,601.6308264735322,154.9892743380216,174.4212362707102,219.24314430959245,113.42633198969688,146.43120670545125,283.56507478367314,145.3398053301055,509.12296027290813,364.11272310531587,229.29060388700012,360.51094306523737,267.60296794090436,90.70626720578049,152.10696927042744,238.29315708372502,158.79296471222884,190.61940467545577,203.65525281708014,229.18894066529202,179.01689703106948,129.8815528983567,1332.5400941536625,149.91199802719447,276.17351351060086,322.5902868891944,228.64288246800658,248.3321459495399,144.09664684937695,251.3911969123642,906.2929187340454,168.781982421875
