x,y,z,gene
866,1263,146,bc2
869,1274,146,bc2
878,1256,146,bc2
887,1238,146,bc2
890,1236,146,bc2
894,1221,146,bc2
946,1195,146,bc2
988,1253,146,bc2
992,1257,146,bc2
996,1263,146,bc2
953,1203,148,bc2
959,1291,147,bc2
878,1264,148,bc2
879,1291,148,bc2
885,1290,149,bc2
887,1219,148,bc2
905,1289,148,bc2
955,1279,148,bc2
957,1210,149,bc2
968,1288,148,bc2
868,1292,149,bc2
881,1280,149,bc2
881,1243,149,bc2
917,1273,149,bc2
920,1213,149,bc2
932,1291,149,bc2
935,1283,149,bc2
957,1287,149,bc2
968,1214,149,bc2
972,1242,149,bc2
986,1246,149,bc2
888,1282,151,bc2
892,1227,150,bc2
924,1212,150,bc2
949,1287,150,bc2
950,1280,150,bc2
955,1293,150,bc2
970,1250,150,bc2
890,1235,151,bc2
890,1232,151,bc2
900,1282,151,bc2
901,1287,151,bc2
905,1206,151,bc2
907,1282,153,bc2
915,1281,151,bc2
932,1222,151,bc2
950,1216,151,bc2
980,1287,151,bc2
873,992,153,bc2
882,1284,152,bc2
906,1213,152,bc2
912,1292,154,bc2
913,1256,152,bc2
938,1264,153,bc2
942,1289,152,bc2
970,1225,152,bc2
971,1254,152,bc2
977,1230,152,bc2
900,1225,153,bc2
944,1199,153,bc2
945,1275,153,bc2
954,1195,153,bc2
964,1217,153,bc2
972,1258,153,bc2
973,1236,153,bc2
975,1244,153,bc2
878,995,154,bc2
886,1277,154,bc2
897,1232,154,bc2
900,1284,154,bc2
899,1292,154,bc2
906,1244,154,bc2
908,1264,154,bc2
926,1220,154,bc2
940,1210,154,bc2
940,1287,154,bc2
943,1203,154,bc2
946,1205,154,bc2
946,1210,154,bc2
953,1208,154,bc2
954,1285,154,bc2
958,1210,154,bc2
959,1284,154,bc2
961,1202,154,bc2
962,1218,154,bc2
964,1222,154,bc2
968,1230,154,bc2
969,1236,154,bc2
969,1251,154,bc2
976,1234,154,bc2
977,1240,154,bc2
890,1227,155,bc2
895,1203,155,bc2
917,1279,155,bc2
927,1289,155,bc2
930,1194,155,bc2
931,1228,155,bc2
932,1284,155,bc2
937,1202,155,bc2
938,1239,155,bc2
940,1235,155,bc2
939,1279,155,bc2
945,1239,155,bc2
945,1282,155,bc2
947,1290,155,bc2
961,1211,155,bc2
971,1228,155,bc2
972,1240,155,bc2
900,1210,156,bc2
905,1210,156,bc2
917,1257,156,bc2
921,1205,156,bc2
922,1198,156,bc2
923,1193,156,bc2
924,1221,156,bc2
924,1214,156,bc2
925,1270,156,bc2
